Fold,RMSE_Model_A_Poly+ElasticNet,RMSE_Model_B_HistGB,RMSE_Diff_B_minus_A
1,1.962992133445509,1.8903125466038406,-0.07267958684166831
2,1.922277839345042,1.8524929303619257,-0.06978490898311618
3,1.9407209164160089,1.869151733355587,-0.07156918306042193
4,1.9224829934146215,1.8587545153441638,-0.06372847807045767
5,1.8950055895601015,1.8305160892910965,-0.0644895002690049
